id|Commune|Latitude|Longitude
26691822|Massy|48.7301580|2.2766735
26691823|Gap|44.5612032|6.0820639
26691824|Dieppe|49.9246182|1.0791444
26691825|Montceau-les-Mines|46.6740455|4.3631681
26691826|Mandelieu-la-Napoule|43.5439153|6.9359135
26691827|Évreux|49.0268903|1.1510164
26691830|Herblay-sur-Seine|48.9898588|2.1661620
26691832|Douchy-les-Mines|50.2988884|3.3909158
26691834|Carcassonne|43.2130358|2.3491069
26691836|Houilles|48.9229416|2.1868998
26691837|Le Plessis-Trévise|48.8091528|2.5732616
26691840|Sète|43.4014434|3.6959771
26691841|Mende|44.5180226|3.4991057
26691842|Calais|50.9524769|1.8538446
26691845|Saint-Laurent-du-Var|43.6690101|7.1906969
26691846|Rezé|47.1905456|-1.5695287
26691847|Condé-sur-l'Escaut|50.4483415|3.5928883
26691849|Limay|48.9921015|1.7353686
26691851|Woippy|49.1515848|6.1519224
26691852|Agde|43.3124696|3.4707789
26691854|Quimperlé|47.8692882|-3.5505644
26691855|Saint-Jean-de-la-Ruelle|47.9098024|1.8717431
26691856|Courbevoie|48.8953328|2.2561602
26691858|Livry-Gargan|48.9173350|2.5298854
26691860|Orange|44.1371311|4.8078783
26691861|Beauvais|49.4300997|2.0823355
26691862|Vernouillet|48.7166545|1.3650922
26691863|Écully|45.7754498|4.7785644
26691864|Albertville|45.6754622|6.3925417
26691867|Méru|49.2361978|2.1355087
26691869|Gennevilliers|48.9254221|2.2940122
26691870|Bully-les-Mines|50.4464000|2.7198900
26691871|Éragny|49.0192178|2.0910817
26691873|Pont-à-Mousson|48.9025946|6.0547691
26691874|Thouars|46.9790193|-0.2153741
26691875|Mouvaux|50.7029000|3.1368900
26691876|Sceaux|48.7790592|2.2886619
26691877|Mainvilliers|48.4489382|1.4580047
26691878|Vesoul|47.6197395|6.1544694
26691879|La Courneuve|48.9267236|2.3896123
26691880|Épernay|49.0425610|3.9528655
26691881|Carrières-sous-Poissy|48.9437694|2.0341747
26691882|Graulhet|43.7578000|1.9972300
26691883|Le Pré-Saint-Gervais|48.8830565|2.4040111
26691884|Bagnols-sur-Cèze|44.1604810|4.6235831
26691885|Morlaix|48.5824932|-3.8331972
26691888|Montargis|47.9978628|2.7310072
26691893|Saint-Gaudens|43.1077682|0.7247218
26691894|Suresnes|48.8709053|2.2255727
26691895|Autun|46.9510313|4.2989478
26691897|Berre-l'Étang|43.4758249|5.1673492
26691898|Ambérieu-en-Bugey|45.9584309|5.3595099
26691899|Le Puy-en-Velay|45.0459739|3.8855537
26691900|Oullins|45.7153254|4.8039331
26691901|Rodez|44.3511408|2.5728493
26691902|Villenave-d'Ornon|44.7737872|-0.5595029
26691903|Issoire|45.5432973|3.2502213
26691904|Gujan-Mestras|44.6360982|-1.0714014
26691906|Fameck|49.3043497|6.1041352
26691907|Montataire|49.2561311|2.4342569
26691909|Villiers-sur-Marne|48.8262055|2.5406696
26691914|Rixheim|47.7441969|7.3968786
26691916|Vénissieux|45.6977109|4.8855966
26691919|Seyssinet-Pariset|45.1790768|5.6899617
26691920|Fleury-les-Aubrais|47.9309156|1.9208883
26691921|Valenciennes|50.3579317|3.5234846
26691922|Haubourdin|50.6093554|2.9864421
26691923|Montigny-lès-Cormeilles|48.9959113|2.1989225
26691924|Les Mureaux|48.9931578|1.9099280
26691925|L'Haÿ-les-Roses|48.7790514|2.3373021
26691926|Déville-lès-Rouen|49.4695338|1.0495889
26691928|Ussel|45.5455910|2.3119397
26691931|Chaville|48.8086297|2.1882897
26691933|Bollène|44.2803882|4.7484092
26691934|Bruay-la-Buissière|50.4821963|2.5461922
